id,claim,reference_urls,reviewer_1,reviewer_2,final_label,evidence_quote,applicability_notes,review_date
moon_rotation_supported,The Moon rotates on its axis about once every 27 Earth days.,https://science.nasa.gov/moon/facts/,,,,,,
moon_rotation_refuted,The Moon rotates on its axis once every 24 hours.,https://science.nasa.gov/moon/facts/,,,,,,
moon_rings_supported,Earth's Moon has no rings.,https://science.nasa.gov/moon/facts/,,,,,,
moon_rings_refuted,Earth's Moon has a ring system like Saturn's.,https://science.nasa.gov/moon/facts/,,,,,,
mars_moons_supported,Mars has two moons named Phobos and Deimos.,https://science.nasa.gov/mars/facts/,,,,,,
mars_moons_refuted,"Mars has three moons named Phobos, Deimos and Titan.",https://science.nasa.gov/mars/facts/,,,,,,
mars_order_supported,Mars is the fourth planet from the Sun.,https://science.nasa.gov/mars/facts/,,,,,,
mars_order_refuted,Mars is the second planet from the Sun.,https://science.nasa.gov/mars/facts/,,,,,,
venus_heat_supported,Venus is the hottest planet in our solar system.,https://science.nasa.gov/venus/venus-facts/,,,,,,
venus_heat_refuted,Mercury is the hottest planet in our solar system.,https://science.nasa.gov/venus/venus-facts/,,,,,,
venus_rotation_supported,Venus takes longer to rotate once on its axis than to orbit the Sun once.,https://science.nasa.gov/venus/venus-facts/,,,,,,
venus_rotation_refuted,Venus takes less time to rotate once on its axis than to orbit the Sun once.,https://science.nasa.gov/venus/venus-facts/,,,,,,
ocean_water_supported,About 97 percent of Earth's water is in the ocean.,https://oceanservice.noaa.gov/facts/oceanwater.html,,,,,,
ocean_water_refuted,About 7 percent of Earth's water is in the ocean.,https://oceanservice.noaa.gov/facts/oceanwater.html,,,,,,
ocean_surface_supported,The ocean covers more than 70 percent of Earth's surface.,https://oceanservice.noaa.gov/facts/oceanwater.html,,,,,,
ocean_surface_refuted,The ocean covers less than 30 percent of Earth's surface.,https://oceanservice.noaa.gov/facts/oceanwater.html,,,,,,
ice_density_supported,Ordinary ice floats in liquid water because it is less dense than the water.,https://www.usgs.gov/water-science-school/science/water-density,,,,,,
ice_density_refuted,Ordinary ice floats in liquid water because it is denser than the water.,https://www.usgs.gov/water-science-school/science/water-density,,,,,,
declaration_supported,"The United States Declaration of Independence is dated July 4, 1776.",https://www.archives.gov/founding-docs/declaration-transcript,,,,,,
declaration_refuted,"The United States Declaration of Independence is dated July 4, 1876.",https://www.archives.gov/founding-docs/declaration-transcript,,,,,,
si_count_supported,The International System of Units has seven base units.,https://www.nist.gov/pml/owm/metric-si/si-units,,,,,,
si_count_refuted,The International System of Units has twelve base units.,https://www.nist.gov/pml/owm/metric-si/si-units,,,,,,
si_mass_supported,The kilogram is the SI base unit of mass.,https://www.nist.gov/pml/owm/metric-si/si-units,,,,,,
si_mass_refuted,The pound is the SI base unit of mass.,https://www.nist.gov/pml/owm/metric-si/si-units,,,,,,
antibiotic_virus_supported,Antibiotics do not work against viruses.,https://www.cdc.gov/antibiotic-use/about/index.html,,,,,,
antibiotic_virus_refuted,Antibiotics work against viruses.,https://www.cdc.gov/antibiotic-use/about/index.html,,,,,,
antibiotic_cold_supported,Antibiotics do not treat the viruses that cause the common cold.,https://www.cdc.gov/antibiotic-use/about/index.html,,,,,,
antibiotic_cold_refuted,Antibiotics cure the viruses that cause the common cold.,https://www.cdc.gov/antibiotic-use/about/index.html,,,,,,
flower_year_supported,Vanda Miss Joaquim was chosen as Singapore's national flower in 1981.,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2539,,,,,,
flower_year_refuted,Vanda Miss Joaquim was chosen as Singapore's national flower in 1991.,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2539,,,,,,
flower_identity_supported,Singapore's national flower is Vanda Miss Joaquim.,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2539,,,,,,
flower_identity_refuted,Singapore's national flower is the sunflower.,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2539,,,,,,
dengue_vector_supported,Dengue can spread through the bite of an infected Aedes mosquito.,https://www.nea.gov.sg/dengue-zika/dengue,,,,,,
dengue_vector_refuted,Dengue cannot spread through mosquito bites.,https://www.nea.gov.sg/dengue-zika/dengue,,,,,,
canberra_name_supported,Canberra was officially named in 1913.,https://www.nca.gov.au/education/canberras-history/siting-and-naming-canberra,,,,,,
canberra_name_refuted,Canberra was officially named in 2013.,https://www.nca.gov.au/education/canberras-history/siting-and-naming-canberra,,,,,,
canberra_capital_supported,Canberra is Australia's capital city.,https://www.nca.gov.au/sites/default/files/8CanberraSeatofGovernment_0.pdf,,,,,,
canberra_capital_refuted,Sydney is Australia's capital city.,https://www.nca.gov.au/sites/default/files/8CanberraSeatofGovernment_0.pdf,,,,,,
web_invention_supported,Tim Berners-Lee invented the World Wide Web at CERN in 1989.,https://home.cern/science/computing/the-birth-of-the-web/,,,,,,
web_invention_refuted,Tim Berners-Lee invented the World Wide Web at CERN in 1969.,https://home.cern/science/computing/the-birth-of-the-web/,,,,,,
phuket_personal,I need to have 20000 baht in cash to enter phuket,https://doha.thaiembassy.org/en/publicservice/tourist-visa-exemption-visa-on-arrival?page=5d7e6a3c15e39c032c006dba,,,,,,
great_wall_moon,The Great Wall of China is visible from the Moon.,https://www.nasa.gov/image-article/great-wall/,,,,,,
food_opinion,Chicken rice is the best food in Singapore.,,,,,,,
