id,group,split,claim,passage,source_url,reviewer_one,reviewer_one_label,reviewer_two,reviewer_two_label,final_label,review_notes
entry_fee-supporting,entry_fee,development,Admission to the Harbour exhibition is free.,Visitors pay nothing to enter the Harbour exhibition.,https://example.invalid/uiabo-evaluation/entry_fee,,,,,,
entry_fee-contradicting,entry_fee,development,Admission to the Harbour exhibition is free.,Every visitor must pay $10 to enter the Harbour exhibition.,https://example.invalid/uiabo-evaluation/entry_fee,,,,,,
entry_fee-neutral,entry_fee,development,Admission to the Harbour exhibition is free.,The Harbour exhibition displays paintings and opens at noon.,https://example.invalid/uiabo-evaluation/entry_fee,,,,,,
opening_day-supporting,opening_day,development,The Maple fair opens on Saturday.,The Maple fair's opening day is Saturday.,https://example.invalid/uiabo-evaluation/opening_day,,,,,,
opening_day-contradicting,opening_day,development,The Maple fair opens on Saturday.,"The Maple fair opens on Friday, rather than Saturday.",https://example.invalid/uiabo-evaluation/opening_day,,,,,,
opening_day-neutral,opening_day,development,The Maple fair opens on Saturday.,The Maple fair has stalls selling food and handmade crafts.,https://example.invalid/uiabo-evaluation/opening_day,,,,,,
refund-supporting,refund,development,Cancelled Cedar workshop tickets are refundable.,Customers who cancel a Cedar workshop ticket can receive their money back.,https://example.invalid/uiabo-evaluation/refund,,,,,,
refund-contradicting,refund,development,Cancelled Cedar workshop tickets are refundable.,"Cedar workshop tickets are non-refundable, including when the customer cancels.",https://example.invalid/uiabo-evaluation/refund,,,,,,
refund-neutral,refund,development,Cancelled Cedar workshop tickets are refundable.,Cedar workshop tickets can be purchased online.,https://example.invalid/uiabo-evaluation/refund,,,,,,
museum_rumour-supporting,museum_rumour,development,The Birch museum has closed permanently.,The Birch museum has ceased operations for good.,https://example.invalid/uiabo-evaluation/museum_rumour,,,,,,
museum_rumour-contradicting,museum_rumour,development,The Birch museum has closed permanently.,A rumour that the Birch museum has closed permanently is a hoax. It remains open.,https://example.invalid/uiabo-evaluation/museum_rumour,,,,,,
